Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
10/1989,ANC,"8,461","4,613","3,072",207,"16,353","1,278",24,"1,302","17,655"
10/1989,FAI,"1,278","1,274","2,529",72,"5,153","2,076",28,"2,104","7,257"
11/1989,ANC,"8,001","4,295","2,264",132,"14,692","1,147",18,"1,165","15,857"
11/1989,FAI,"1,041","1,483","1,366",53,"3,943",935,84,"1,019","4,962"
12/1989,ANC,"6,765","3,727","1,882",151,"12,525",750,24,774,"13,299"
12/1989,FAI,"1,177","1,574","1,641",60,"4,452","1,394",163,"1,557","6,009"
01/1990,ADQ,213,"1,118",540,491,"2,362",82,772,854,"3,216"
01/1990,AKN,123,"1,019",202,124,"1,468",50,176,226,"1,694"
01/1990,ANC,"6,514","3,818","1,981",174,"12,487",760,44,804,"13,291"
01/1990,BET,221,"2,899","1,534",32,"4,686",242,2,244,"4,930"
01/1990,ENA,11,"2,910",677,42,"3,640",868,102,970,"4,610"
01/1990,FAI,"1,019","1,496","1,091",83,"3,689",818,141,959,"4,648"
01/1990,JNU,553,"2,436",416,62,"3,467",646,2,648,"4,115"
01/1990,LHD,0,36,"1,009",0,"1,045",384,0,384,"1,429"
01/1990,MRI,0,582,"2,575",0,"3,157","6,578",0,"6,578","9,735"
02/1990,ADQ,160,835,431,286,"1,712",280,528,808,"2,520"
02/1990,AKN,95,"1,049",206,152,"1,502",70,212,282,"1,784"
02/1990,ANC,"6,645","3,512","1,900",157,"12,214",834,33,867,"13,081"
02/1990,BET,232,"2,755","1,658",93,"4,738",149,9,158,"4,896"
02/1990,ENA,19,"2,517",945,23,"3,504","1,025",108,"1,133","4,637"
02/1990,FAI,892,"1,234",937,68,"3,131",558,64,622,"3,753"
02/1990,JNU,507,"2,471",390,64,"3,432","1,029",32,"1,061","4,493"
02/1990,LHD,0,55,"1,181",0,"1,236",153,0,153,"1,389"
02/1990,MRI,0,569,"3,167",0,"3,736","5,828",0,"5,828","9,564"
03/1990,ADQ,156,"1,368",605,397,"2,526",300,468,768,"3,294"
03/1990,AKN,115,"1,185",419,112,"1,831",244,96,340,"2,171"
03/1990,ANC,"7,838","4,220","3,531",275,"15,864","1,311",21,"1,332","17,196"
03/1990,BET,244,"3,130","2,441",74,"5,889",449,0,449,"6,338"
03/1990,ENA,5,"3,110","1,553",44,"4,712","1,627",104,"1,731","6,443"
03/1990,FAI,"1,002","1,951","2,739",110,"5,802","3,963",133,"4,096","9,898"
03/1990,JNU,567,"4,548","1,180",74,"6,369","2,171",12,"2,183","8,552"
03/1990,LHD,0,146,"3,306",0,"3,452",549,0,549,"4,001"
03/1990,MRI,0,664,"6,779",0,"7,443","15,042",0,"15,042","22,485"
04/1990,ADQ,208,"1,553",717,438,"2,916",256,484,740,"3,656"
04/1990,AKN,176,"1,640",743,262,"2,821",366,320,686,"3,507"
04/1990,ANC,"7,274","4,444","4,407",187,"16,312","1,707",24,"1,731","18,043"
04/1990,BET,269,"3,846","3,418",47,"7,580",657,6,663,"8,243"
04/1990,ENA,14,"3,251","2,171",27,"5,463","2,653",87,"2,740","8,203"
04/1990,FAI,965,"1,983","3,480",114,"6,542","5,688",234,"5,922","12,464"
04/1990,JNU,578,"5,680","1,824",70,"8,152","3,028",4,"3,032","11,184"
04/1990,LHD,0,147,"3,826",0,"3,973","1,060",0,"1,060","5,033"
04/1990,MRI,0,683,"10,422",0,"11,105","18,914",0,"18,914","30,019"
05/1990,ADQ,308,"1,735",836,445,"3,324",188,288,476,"3,800"
05/1990,AKN,306,"2,568","1,368",245,"4,487",360,262,622,"5,109"
05/1990,ANC,"8,301","5,827","5,010",205,"19,343","1,924",12,"1,936","21,279"
05/1990,BET,314,"3,873","4,015",43,"8,245",576,10,586,"8,831"
05/1990,ENA,2,"4,055","2,320",54,"6,431","1,002",83,"1,085","7,516"
05/1990,FAI,"1,065","2,171","4,384",149,"7,769","7,344",180,"7,524","15,293"
05/1990,JNU,604,"8,607","1,956",78,"11,245","2,452",2,"2,454","13,699"
05/1990,LHD,0,970,"7,846",0,"8,816","1,173",0,"1,173","9,989"
05/1990,MRI,0,897,"11,382",0,"12,279","17,158",0,"17,158","29,437"
06/1990,ADQ,312,"2,315",945,432,"4,004",180,294,474,"4,478"
06/1990,AKN,338,"3,838","1,751",216,"6,143",246,208,454,"6,597"
06/1990,ANC,"9,627","6,331","5,717",202,"21,877","1,331",23,"1,354","23,231"
06/1990,BET,333,"3,577","3,061",100,"7,071",392,12,404,"7,475"
06/1990,ENA,80,"3,940","2,388",48,"6,456",804,47,851,"7,307"
06/1990,FAI,"1,135","2,172","4,597",158,"8,062","5,629",164,"5,793","13,855"
06/1990,JNU,706,"11,273","1,852",99,"13,930","1,918",21,"1,939","15,869"
06/1990,LHD,0,"3,171","13,037",0,"16,208",134,0,134,"16,342"
06/1990,MRI,0,"1,694","12,594",0,"14,288","16,747",0,"16,747","31,035"
07/1990,ADQ,337,"2,061","1,093",410,"3,901",225,404,629,"4,530"
07/1990,AKN,"1,057","5,140","2,598",248,"9,043",224,269,493,"9,536"
07/1990,ANC,"9,886","6,728","5,816",262,"22,692",848,4,852,"23,544"
07/1990,BET,339,"3,929","3,414",97,"7,779",311,0,311,"8,090"
07/1990,ENA,629,"3,908","2,738",39,"7,314","1,532",138,"1,670","8,984"
07/1990,FAI,"1,311","2,188","4,556",76,"8,131","4,701",134,"4,835","12,966"
07/1990,JNU,748,"12,995","2,503",71,"16,317","1,616",4,"1,620","17,937"
07/1990,LHD,0,"2,651","11,479",0,"14,130",524,0,524,"14,654"
07/1990,MRI,0,"1,442","12,804",0,"14,246","15,793",0,"15,793","30,039"
07/1990,TSG,0,73,256,5,334,0,0,0,334
08/1990,ADQ,355,"2,835","1,630",476,"5,296",822,738,"1,560","6,856"
08/1990,AKN,234,"3,144","1,466",196,"5,040",334,188,522,"5,562"
08/1990,ANC,"9,712","6,876","5,687",297,"22,572",940,12,952,"23,524"
08/1990,BET,359,"4,341","3,567",90,"8,357",357,2,359,"8,716"
08/1990,ENA,148,"4,210","2,657",53,"7,068","1,636",141,"1,777","8,845"
08/1990,FAI,"1,348","2,488","4,840",121,"8,797","4,905",127,"5,032","13,829"
08/1990,JNU,737,"12,674","2,293",56,"15,760","1,834",2,"1,836","17,596"
08/1990,LHD,0,"2,554","11,510",0,"14,064",674,0,674,"14,738"
08/1990,MRI,0,"1,716","12,216",0,"13,932","16,892",12,"16,904","30,836"
08/1990,TSG,0,55,67,4,126,2,0,2,128
09/1990,ADQ,320,"2,465",717,518,"4,020",742,"1,039","1,781","5,801"
09/1990,AKN,147,"2,281",972,175,"3,575",190,102,292,"3,867"
09/1990,ANC,"8,118","5,934","3,684",203,"17,939",706,12,718,"18,657"
09/1990,BET,299,"4,117","2,766",50,"7,232",264,0,264,"7,496"
09/1990,ENA,79,"4,243","1,785",61,"6,168","1,606",128,"1,734","7,902"
09/1990,FAI,"1,248","1,713","3,951",144,"7,056","4,187",136,"4,323","11,379"
09/1990,JNU,596,"7,910","1,289",73,"9,868","1,349",28,"1,377","11,245"
09/1990,LHD,0,"1,424","6,744",0,"8,168",444,0,444,"8,612"
09/1990,MRI,0,"1,368","7,839",0,"9,207","13,472",2,"13,474","22,681"
10/1990,ADQ,274,"2,247",536,335,"3,392",726,782,"1,508","4,900"
10/1990,AKN,132,"1,681",729,137,"2,679",410,134,544,"3,223"
10/1990,ANC,"7,995","5,853","3,185",253,"17,286","1,243",16,"1,259","18,545"
10/1990,BET,289,"4,529","3,345",60,"8,223",495,2,497,"8,720"
10/1990,ENA,50,"4,097","1,561",43,"5,751","1,360",134,"1,494","7,245"
10/1990,FAI,"1,172","1,688","2,344",110,"5,314","4,146",199,"4,345","9,659"
10/1990,JNU,440,"4,901","1,047",50,"6,438","1,062",44,"1,106","7,544"
10/1990,LHD,0,439,"3,600",0,"4,039",697,0,697,"4,736"
10/1990,MRI,0,"1,204","7,025",0,"8,229","15,184",0,"15,184","23,413"
11/1990,ADQ,233,"1,820",364,358,"2,775",208,512,720,"3,495"
11/1990,AKN,118,"1,195",285,164,"1,762",207,126,333,"2,095"
11/1990,ANC,"7,486","5,241","1,916",235,"14,878",750,20,770,"15,648"
11/1990,BET,253,"4,186","2,974",57,"7,470",525,4,529,"7,999"
11/1990,ENA,34,"3,748","1,093",53,"4,928","1,509",128,"1,637","6,565"
11/1990,FAI,"1,148","1,462","1,092",87,"3,789",545,138,683,"4,472"
11/1990,JNU,403,"2,876",528,54,"3,861",574,26,600,"4,461"
11/1990,LHD,0,124,"1,204",0,"1,328",312,0,312,"1,640"
11/1990,MRI,0,962,"3,774",0,"4,736","6,562",0,"6,562","11,298"
12/1990,ADQ,220,"1,462",204,328,"2,214",242,457,699,"2,913"
12/1990,AKN,126,"1,042",210,135,"1,513",99,290,389,"1,902"
12/1990,ANC,"7,398","5,194","1,635",220,"14,447",755,18,773,"15,220"
12/1990,BET,216,"2,794","2,129",29,"5,168",168,0,168,"5,336"
12/1990,ENA,11,"3,520",718,39,"4,288","1,080",62,"1,142","5,430"
12/1990,FAI,"1,115","1,363","1,009",61,"3,548",447,93,540,"4,088"
12/1990,JNU,426,"2,505",367,44,"3,342",540,16,556,"3,898"
12/1990,LHD,0,99,907,0,"1,006",213,0,213,"1,219"
12/1990,MRI,0,655,"2,511",0,"3,166","5,916",8,"5,924","9,090"
01/1991,ADQ,222,"1,092",253,355,"1,922",372,574,946,"2,868"
01/1991,AKN,108,"1,047",201,126,"1,482",66,214,280,"1,762"
01/1991,ANC,"7,020","4,933","1,629",248,"13,830",607,14,621,"14,451"
01/1991,BET,251,"2,287","2,200",36,"4,774",297,12,309,"5,083"
01/1991,ENA,86,"3,500",680,49,"4,315","1,030",94,"1,124","5,439"
01/1991,FAI,"1,146","1,581","1,101",64,"3,892",559,87,646,"4,538"
01/1991,JNU,449,"2,532",412,65,"3,458",634,32,666,"4,124"
01/1991,LHD,0,71,780,0,851,130,0,130,981
01/1991,MRI,0,591,"2,374",0,"2,965","6,544",0,"6,544","9,509"
02/1991,ADQ,187,955,192,325,"1,659",386,792,"1,178","2,837"
02/1991,AKN,97,981,240,221,"1,539",226,302,528,"2,067"
02/1991,ANC,"6,279","4,761","1,924",276,"13,240","1,010",5,"1,015","14,255"
02/1991,BET,195,"2,496","2,132",91,"4,914",218,0,218,"5,132"
02/1991,ENA,34,"3,436",995,51,"4,516","1,078",122,"1,200","5,716"
02/1991,FAI,"1,159","1,393","1,633",72,"4,257","1,488",83,"1,571","5,828"
02/1991,JNU,367,"2,209",418,86,"3,080",792,46,838,"3,918"
02/1991,LHD,0,103,"1,723",0,"1,826",378,0,378,"2,204"
02/1991,MRI,0,792,"3,958",6,"4,756","9,639",4,"9,643","14,399"
03/1991,ADQ,243,"1,445",373,417,"2,478",554,"1,040","1,594","4,072"
03/1991,AKN,155,"1,316",385,133,"1,989",264,140,404,"2,393"
03/1991,ANC,"7,062","5,301","2,467",211,"15,041","1,187",10,"1,197","16,238"
03/1991,BET,225,"2,269","2,520",95,"5,109",249,0,249,"5,358"
03/1991,ENA,15,"3,464","1,238",44,"4,761","1,356",156,"1,512","6,273"
03/1991,FAI,"1,164","1,679","2,113",60,"5,016","2,444",120,"2,564","7,580"
03/1991,JNU,468,"3,767","1,108",50,"5,393","2,462",36,"2,498","7,891"
03/1991,LHD,0,134,"2,973",0,"3,107",475,0,475,"3,582"
03/1991,MRI,0,756,"5,096",0,"5,852","10,988",0,"10,988","16,840"
04/1991,ADQ,250,"1,569",388,380,"2,587",394,798,"1,192","3,779"
04/1991,AKN,153,"1,659",530,149,"2,491",429,313,742,"3,233"
04/1991,ANC,"6,948","5,738","3,594",380,"16,660","2,208",20,"2,228","18,888"
04/1991,BET,214,"3,580","3,624",33,"7,451",764,2,766,"8,217"
04/1991,ENA,59,"3,536","1,692",60,"5,347","2,268",194,"2,462","7,809"
04/1991,FAI,"1,158","1,898","3,576",93,"6,725","5,799",119,"5,918","12,643"
04/1991,JNU,434,"5,121","1,525",54,"7,134","3,644",4,"3,648","10,782"
04/1991,LHD,0,161,"3,341",0,"3,502","1,001",0,"1,001","4,503"
04/1991,MRI,0,703,"7,744",0,"8,447","18,801",0,"18,801","27,248"
05/1991,ADQ,266,"1,868",530,366,"3,030",408,444,852,"3,882"
05/1991,AKN,234,"2,307",833,159,"3,533",516,246,762,"4,295"
05/1991,ANC,"7,911","7,478","4,060",366,"19,815","1,270",12,"1,282","21,097"
05/1991,BET,364,"4,319","4,550",47,"9,280",638,2,640,"9,920"
05/1991,ENA,95,"4,503","2,375",40,"7,013","2,900",130,"3,030","10,043"
05/1991,FAI,"1,298","1,941","4,038",133,"7,410","7,330",102,"7,432","14,842"
05/1991,JNU,610,"8,339","2,064",58,"11,071","3,026",50,"3,076","14,147"
05/1991,LHD,0,803,"6,654",0,"7,457","1,843",0,"1,843","9,300"
05/1991,MRI,0,933,"9,849",0,"10,782","17,962",0,"17,962","28,744"
06/1991,ADQ,219,"1,802",570,363,"2,954",398,372,770,"3,724"
06/1991,AKN,338,"3,893","1,456",137,"5,824",189,157,346,"6,170"
06/1991,ANC,"8,857","8,313","5,560",265,"22,995","1,051",8,"1,059","24,054"
06/1991,BET,365,"4,281","3,247",61,"7,954",539,24,563,"8,517"
