Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
Oct-1989,MCI,"9,307","2,909","1,622",71,"13,909",294,58,352,"14,261"
Oct-1989,STL,"24,470","9,048","3,730",935,"38,183",0,0,0,"38,183"
Nov-1989,MCI,"8,306","3,062","1,302",91,"12,761",218,78,296,"13,057"
Nov-1989,STL,"22,726","8,425","3,434",855,"35,440",0,0,0,"35,440"
Dec-1989,MCI,"8,841","2,507","1,318",100,"12,766",152,93,245,"13,011"
Dec-1989,STL,"23,048","8,080","2,542",675,"34,345",0,0,0,"34,345"
Jan-1990,ALO,0,"1,737","2,188",270,"4,195","2,496",234,"2,730","6,925"
Jan-1990,CGI,0,170,"1,900",48,"2,118",764,32,796,"2,914"
Jan-1990,CID,"1,439","1,305","2,142",20,"4,906","1,323",4,"1,327","6,233"
Jan-1990,COU,0,667,"1,599",46,"2,312",580,136,716,"3,028"
Jan-1990,DBQ,0,692,"2,066",10,"2,768","2,126",8,"2,134","4,902"
Jan-1990,DSM,"2,344","1,699","5,464",444,"9,951","1,168",220,"1,388","11,339"
Jan-1990,FOE,29,295,"1,285",798,"2,407",644,"1,092","1,736","4,143"
Jan-1990,GRI,2,392,"1,066",40,"1,500",750,56,806,"2,306"
Jan-1990,HUT,0,166,"2,024",107,"2,297","1,942",96,"2,038","4,335"
Jan-1990,ICT,"2,639","1,072","7,585",92,"11,388","2,635",35,"2,670","14,058"
Jan-1990,JLN,0,537,"1,340",8,"1,885","1,322",0,"1,322","3,207"
Jan-1990,LNK,869,834,"2,882","1,040","5,625","2,464",734,"3,198","8,823"
Jan-1990,MCI,"9,017","2,694","1,384",106,"13,201",36,172,208,"13,409"
Jan-1990,MKC,2,494,"7,852",73,"8,421","4,391",4,"4,395","12,816"
Jan-1990,OJC,0,3,"4,761",10,"4,774","4,856",22,"4,878","9,652"
Jan-1990,OMA,"3,653","1,832","4,402",124,"10,011","2,090",144,"2,234","12,245"
Jan-1990,SGF,349,"1,730","2,882",269,"5,230","2,262",659,"2,921","8,151"
Jan-1990,SLN,0,133,"2,520",741,"3,394","2,858","1,249","4,107","7,501"
Jan-1990,STJ,22,28,591,475,"1,116",398,410,808,"1,924"
Jan-1990,STL,"23,981","9,143","2,899",898,"36,921",0,0,0,"36,921"
Jan-1990,SUS,0,130,"6,899",16,"7,045","8,012",0,"8,012","15,057"
Jan-1990,SUX,478,432,"2,091",289,"3,290","1,308",516,"1,824","5,114"
Jan-1990,TOP,0,32,"2,523",37,"2,592","1,953",28,"1,981","4,573"
Feb-1990,ALO,4,"1,379","1,927",273,"3,583","1,762",248,"2,010","5,593"
Feb-1990,CGI,0,135,"1,624",20,"1,779",512,8,520,"2,299"
Feb-1990,CID,"1,308","1,100","2,311",20,"4,739","1,170",17,"1,187","5,926"
Feb-1990,COU,0,564,"1,476",27,"2,067",481,92,573,"2,640"
Feb-1990,DBQ,0,385,"2,171",20,"2,576","2,618",2,"2,620","5,196"
Feb-1990,DSM,"2,138","1,497","5,220",487,"9,342","1,316",220,"1,536","10,878"
Feb-1990,FOE,9,252,"1,371",507,"2,139",734,846,"1,580","3,719"
Feb-1990,GRI,1,339,"1,108",74,"1,522",839,90,929,"2,451"
Feb-1990,HUT,0,155,"1,618",56,"1,829","1,472",48,"1,520","3,349"
Feb-1990,ICT,"2,290","1,029","6,340",136,"9,795","2,099",32,"2,131","11,926"
Feb-1990,JLN,0,463,"1,249",5,"1,717","1,160",0,"1,160","2,877"
Feb-1990,LNK,688,768,"2,987",853,"5,296","2,376",794,"3,170","8,466"
Feb-1990,MCI,"7,947","2,404","1,161",96,"11,608",44,80,124,"11,732"
Feb-1990,MKC,0,434,"6,560",83,"7,077","3,524",0,"3,524","10,601"
Feb-1990,OJC,0,0,"4,130",8,"4,138","4,553",10,"4,563","8,701"
Feb-1990,OMA,"3,236","1,731","4,232",83,"9,282","2,315",104,"2,419","11,701"
Feb-1990,SGF,316,"1,435","2,643",194,"4,588","1,990",346,"2,336","6,924"
Feb-1990,SLN,0,160,"2,543",608,"3,311","3,363",917,"4,280","7,591"
Feb-1990,STJ,21,2,436,262,721,340,318,658,"1,379"
Feb-1990,STL,"21,832","7,846","2,577",680,"32,935",0,0,0,"32,935"
Feb-1990,SUS,0,74,"5,853",13,"5,940","5,463",0,"5,463","11,403"
Feb-1990,SUX,384,399,"1,957",267,"3,007","1,118",446,"1,564","4,571"
Feb-1990,TOP,0,26,"2,214",41,"2,281","1,371",18,"1,389","3,670"
Mar-1990,ALO,4,"1,359","2,095",333,"3,791","2,428",390,"2,818","6,609"
Mar-1990,CGI,0,154,"2,006",21,"2,181",540,8,548,"2,729"
Mar-1990,CID,"1,476","1,176","2,404",35,"5,091","1,451",0,"1,451","6,542"
Mar-1990,COU,3,620,"1,492",67,"2,182",484,134,618,"2,800"
Mar-1990,DBQ,0,373,"2,176",29,"2,578","2,344",4,"2,348","4,926"
Mar-1990,DSM,"2,399","1,667","5,344",467,"9,877","1,158",324,"1,482","11,359"
Mar-1990,FOE,13,241,"1,385",635,"2,274",654,862,"1,516","3,790"
Mar-1990,GRI,0,411,"1,152",68,"1,631",904,20,924,"2,555"
Mar-1990,HUT,0,190,"2,326",124,"2,640","2,653",114,"2,767","5,407"
Mar-1990,ICT,"2,564","1,286","7,830",59,"11,739","2,970",12,"2,982","14,721"
Mar-1990,JLN,0,595,"1,504",49,"2,148","1,470",6,"1,476","3,624"
Mar-1990,LNK,724,875,"2,835",855,"5,289","2,050",878,"2,928","8,217"
Mar-1990,MCI,"9,258","2,724","1,422",103,"13,507",108,48,156,"13,663"
Mar-1990,MKC,0,524,"7,685",63,"8,272","4,136",0,"4,136","12,408"
Mar-1990,OJC,0,2,"4,573",16,"4,591","4,754",5,"4,759","9,350"
Mar-1990,OMA,"3,644","1,895","4,413",141,"10,093","2,174",129,"2,303","12,396"
Mar-1990,SGF,348,"1,818","2,771",365,"5,302","2,115",818,"2,933","8,235"
