Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
Oct-1989,ADW,11,0,"1,533","7,880","9,424",581,"2,883","3,464","12,888"
Oct-1989,BWI,"13,649","7,434","5,277",132,"26,492",80,26,106,"26,598"
Oct-1989,DCA,"16,997","4,996","7,110",21,"29,124",0,0,0,"29,124"
Oct-1989,EWR,"22,304","8,139","2,317",44,"32,804",0,0,0,"32,804"
Oct-1989,HPN,875,"3,372","11,703",17,"15,967","3,192",0,"3,192","19,159"
Oct-1989,IAD,"10,440","4,647","4,848",229,"20,164",92,40,132,"20,296"
Oct-1989,JFK,"18,457","8,664","1,946",43,"29,110",0,0,0,"29,110"
Oct-1989,LGA,"22,790","5,697","2,301",54,"30,842",0,0,0,"30,842"
Oct-1989,PHL,"15,168","11,764","5,492",96,"32,520",0,0,0,"32,520"
Oct-1989,PIT,"21,519","8,588","2,318",525,"32,950",0,0,0,"32,950"
Oct-1989,TEB,0,"2,180","14,605",24,"16,809","2,823",0,"2,823","19,632"
Nov-1989,ADW,7,0,"1,234","7,312","8,553",587,"2,579","3,166","11,719"
Nov-1989,BWI,"13,327","6,946","4,678",76,"25,027",108,16,124,"25,151"
Nov-1989,DCA,"16,113","4,502","5,776",22,"26,413",4,0,4,"26,417"
Nov-1989,EWR,"21,753","7,668","2,156",66,"31,643",0,0,0,"31,643"
Nov-1989,HPN,358,"3,059","10,099",20,"13,536","2,840",0,"2,840","16,376"
Nov-1989,IAD,"9,640","3,580","4,559",236,"18,015",156,26,182,"18,197"
Nov-1989,JFK,"17,363","8,708","1,705",58,"27,834",0,0,0,"27,834"
Nov-1989,LGA,"22,058","5,318","2,014",34,"29,424",0,0,0,"29,424"
Nov-1989,PHL,"15,450","11,060","4,568",83,"31,161",0,0,0,"31,161"
Nov-1989,PIT,"21,080","7,840","2,066",513,"31,499",0,0,0,"31,499"
Nov-1989,TEB,0,"2,171","13,379",419,"15,969","2,244",6,"2,250","18,219"
Dec-1989,ADW,110,99,"1,029","6,179","7,417",426,"2,092","2,518","9,935"
Dec-1989,BWI,"13,060","6,695","3,486",79,"23,320",47,6,53,"23,373"
Dec-1989,DCA,"16,196","4,575","4,120",7,"24,898",4,0,4,"24,902"
Dec-1989,EWR,"22,008","7,639","1,895",48,"31,590",0,0,0,"31,590"
Dec-1989,HPN,354,"2,810","7,552",26,"10,742","2,234",0,"2,234","12,976"
Dec-1989,IAD,"9,812","2,762","3,411",171,"16,156",22,0,22,"16,178"
Dec-1989,JFK,"18,556","8,501","1,353",33,"28,443",0,0,0,"28,443"
Dec-1989,LGA,"23,035","5,243","1,725",23,"30,026",9,13,22,"30,048"
Dec-1989,PHL,"17,553","9,984","4,056",83,"31,676",0,0,0,"31,676"
Dec-1989,PIT,"20,871","7,719","1,979",503,"31,072",0,0,0,"31,072"
Dec-1989,TEB,9,"2,114","11,442",20,"13,585","2,318",0,"2,318","15,903"
Jan-1990,ABE,"1,136","1,700","4,021",351,"7,208","2,787",656,"3,443","10,651"
Jan-1990,ACY,579,"1,546","2,849",715,"5,689","1,341","1,632","2,973","8,662"
Jan-1990,ADW,10,0,"1,296","7,069","8,375",536,"2,472","3,008","11,383"
Jan-1990,AGC,0,"1,101","6,290",40,"7,431","7,054",38,"7,092","14,523"
Jan-1990,ALB,"2,608","7,558","3,864",578,"14,608",135,189,324,"14,932"
Jan-1990,AVP,496,"1,365","1,607",168,"3,636",777,105,882,"4,518"
Jan-1990,BGM,359,"2,067","1,176",32,"3,634",458,14,472,"4,106"
Jan-1990,BUF,"5,476","1,953","2,205",196,"9,830",528,122,650,"10,480"
Jan-1990,BWI,"13,496","7,217","4,239",205,"25,157",127,0,127,"25,284"
Jan-1990,CDW,0,871,"7,847",10,"8,728","8,574",2,"8,576","17,304"
Jan-1990,CHO,256,957,"2,115",118,"3,446","1,125",120,"1,245","4,691"
Jan-1990,CKB,0,909,"2,901",28,"3,838","2,812",18,"2,830","6,668"
Jan-1990,CRW,"1,084","1,077","2,825",367,"5,353",900,398,"1,298","6,651"
Jan-1990,CXY,0,3,"2,492",100,"2,595","2,454",130,"2,584","5,179"
Jan-1990,DCA,"16,729","4,643","5,108",29,"26,509",0,0,0,"26,509"
Jan-1990,ELM,299,"1,050","1,446",19,"2,814","2,136",10,"2,146","4,960"
Jan-1990,ERI,493,"1,137","1,968",52,"3,650","1,088",50,"1,138","4,788"
Jan-1990,EWR,"22,081","7,632","1,815",51,"31,579",0,0,0,"31,579"
Jan-1990,FRG,0,271,"9,292",47,"9,610","6,889",0,"6,889","16,499"
Jan-1990,HGR,16,500,"3,080",227,"3,823","2,650",190,"2,840","6,663"
Jan-1990,HLG,0,59,"1,421",134,"1,614",422,546,968,"2,582"
Jan-1990,HPN,342,"2,842","8,527",12,"11,723","2,461",0,"2,461","14,184"
Jan-1990,HTS,359,631,"1,438",72,"2,500",318,6,324,"2,824"
Jan-1990,IAD,"10,243","3,154","4,552",234,"18,183",24,6,30,"18,213"
Jan-1990,IAG,16,95,"1,365","1,157","2,633","2,264","1,806","4,070","6,703"
Jan-1990,ILG,6,300,"6,591",453,"7,350","6,682",994,"7,676","15,026"
Jan-1990,IPT,0,844,"1,835",44,"2,723","1,052",4,"1,056","3,779"
Jan-1990,ISP,995,"2,350","6,261",449,"10,055","5,038",83,"5,121","15,176"
Jan-1990,ITH,171,"1,697","1,374",9,"3,251","1,660",10,"1,670","4,921"
Jan-1990,JFK,"18,241","7,746","1,374",56,"27,417",0,0,0,"27,417"
Jan-1990,LGA,"23,451","5,594","1,756",58,"30,859",0,0,0,"30,859"
Jan-1990,LNS,0,"1,122","7,082",302,"8,506","3,684",596,"4,280","12,786"
