,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Facility,,,,Military,Total,Civil,Military,Total,,,,,,,,,,,,
,,Carrier,Taxi,Aviation,,,,,,Operations,,,,,,,,,,,
Oct-1989,CLE,"12,328","5,668","4,302",326,"22,624",126,0,126,"22,750",,,,,,,,,,,
Oct-1989,DAY,"9,109","4,666","2,760",15,"16,550",162,0,162,"16,712",,,,,,,,,,,
Oct-1989,DTW,"24,258","4,579","4,538",14,"33,389",814,1,815,"34,204",,,,,,,,,,,
Oct-1989,IND,"9,241","3,654","5,225",154,"18,274",138,6,144,"18,418",,,,,,,,,,,
Oct-1989,MDW,"11,401","8,848","8,024",250,"28,523",663,37,700,"29,223",,,,,,,,,,,
Oct-1989,MSP,"18,795","5,946","5,255",199,"30,195",389,0,389,"30,584",,,,,,,,,,,
Oct-1989,ORD,"53,642","12,604","2,536",293,"69,075",90,0,90,"69,165",,,,,,,,,,,
Nov-1989,CLE,"11,813","5,236","3,158",223,"20,430",60,0,60,"20,490",,,,,,,,,,,
Nov-1989,DAY,"8,287","4,051","2,499",9,"14,846",182,0,182,"15,028",,,,,,,,,,,
Nov-1989,DTW,"22,749","4,346","3,787",11,"30,893",909,1,910,"31,803",,,,,,,,,,,
Nov-1989,IND,"9,126","3,688","4,535",201,"17,550",210,6,216,"17,766",,,,,,,,,,,
Nov-1989,MDW,"10,951","8,580","7,075",278,"26,884",409,10,419,"27,303",,,,,,,,,,,
Nov-1989,MSP,"18,154","5,992","5,245",186,"29,577",336,2,338,"29,915",,,,,,,,,,,
Nov-1989,ORD,"50,947","11,710","2,328",300,"65,285",44,0,44,"65,329",,,,,,,,,,,
Dec-1989,CLE,"12,352","5,392","2,930",228,"20,902",110,2,112,"21,014",,,,,,,,,,,
Dec-1989,DAY,"8,598","4,267","1,980",4,"14,849",248,1,249,"15,098",,,,,,,,,,,
Dec-1989,DTW,"23,475","4,099","3,119",17,"30,710",516,1,517,"31,227",,,,,,,,,,,
