Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
Oct-1989,BDL,"5,651","6,009","4,157",603,"16,420",293,43,336,"16,756"
Oct-1989,BOS,"21,163","12,597","4,677",16,"38,453",547,0,547,"39,000"
Nov-1989,BDL,"5,320","5,155","3,232",613,"14,320",270,11,281,"14,601"
Nov-1989,BOS,"19,840","11,445","3,862",36,"35,183",332,0,332,"35,515"
Dec-1989,BDL,"5,187","5,314","2,937",577,"14,015",606,60,666,"14,681"
Dec-1989,BOS,"20,526","11,686","3,395",8,"35,615",618,0,618,"36,233"
Jan-1990,ACK,0,"4,476","3,280",44,"7,800","1,269",56,"1,325","9,125"
Jan-1990,ASH,0,0,"4,039",2,"4,041","2,757",2,"2,759","6,800"
Jan-1990,BAF,0,0,"4,316",966,"5,282","3,923",304,"4,227","9,509"
Jan-1990,BDL,"5,357","5,344","2,863",686,"14,250",148,76,224,"14,474"
Jan-1990,BDR,0,"1,674","5,591",135,"7,400","3,963",80,"4,043","11,443"
Jan-1990,BED,0,"1,509","9,779",162,"11,450","6,546",0,"6,546","17,996"
Jan-1990,BGR,772,"1,809","1,772",924,"5,277","1,840","1,754","3,594","8,871"
Jan-1990,BOS,"20,605","11,311","3,386",26,"35,328",0,0,0,"35,328"
Jan-1990,BTV,"1,358","2,466","2,695",563,"7,082","2,736",478,"3,214","10,296"
Jan-1990,BVY,0,17,"3,455",14,"3,486","5,615",0,"5,615","9,101"
Jan-1990,DXR,2,151,"4,647",147,"4,947","3,389",6,"3,395","8,342"
Jan-1990,EWB,0,"1,294","6,108",86,"7,488","4,126",136,"4,262","11,750"
Jan-1990,GON,0,"1,369","3,348",243,"4,960","4,688",148,"4,836","9,796"
Jan-1990,HFD,0,295,"4,551",52,"4,898","6,380",40,"6,420","11,318"
Jan-1990,HVN,0,660,"2,424",12,"3,096","4,616",22,"4,638","7,734"
Jan-1990,HYA,0,"3,700","3,567",36,"7,303","1,866",68,"1,934","9,237"
Jan-1990,LEB,0,"1,034","1,254",6,"2,294","1,689",8,"1,697","3,991"
Jan-1990,LWM,0,63,"3,552",3,"3,618","6,143",8,"6,151","9,769"
Jan-1990,MHT,785,"2,410","3,434",22,"6,651","2,722",14,"2,736","9,387"
Jan-1990,MVY,0,"1,225","1,278",34,"2,537",618,34,652,"3,189"
Jan-1990,ORH,385,"1,250","3,936",49,"5,620","4,640",42,"4,682","10,302"
Jan-1990,OWD,0,371,"5,211",36,"5,618","4,153",0,"4,153","9,771"
Jan-1990,PVD,"2,654","2,144","2,927",63,"7,788","5,796",28,"5,824","13,612"
Jan-1990,PWM,"1,486","2,316","2,865",36,"6,703","1,985",38,"2,023","8,726"
Feb-1990,ACK,0,"3,999","3,167",115,"7,281","1,226",58,"1,284","8,565"
Feb-1990,ASH,0,0,"3,693",5,"3,698","3,008",0,"3,008","6,706"
Feb-1990,BAF,0,13,"3,186",817,"4,016","2,788",384,"3,172","7,188"
Feb-1990,BDL,"4,728","4,561","2,560",490,"12,339",128,14,142,"12,481"
Feb-1990,BDR,0,"1,543","4,553",83,"6,179","3,130",72,"3,202","9,381"
Feb-1990,BED,0,"1,558","7,788",97,"9,443","4,058",0,"4,058","13,501"
Feb-1990,BGR,637,"1,636","1,578","1,180","5,031","1,686","1,962","3,648","8,679"
Feb-1990,BOS,"18,380","10,235","2,991",19,"31,625",0,0,0,"31,625"
Feb-1990,BTV,"1,170","2,481","2,332",702,"6,685","2,177",548,"2,725","9,410"
Feb-1990,BVY,0,1,"2,844",4,"2,849","4,262",0,"4,262","7,111"
Feb-1990,DXR,0,38,"3,989",16,"4,043","2,796",34,"2,830","6,873"
Feb-1990,EWB,0,995,"5,088",42,"6,125","3,639",24,"3,663","9,788"
Feb-1990,GON,0,902,"2,928",195,"4,025","4,318",250,"4,568","8,593"
Feb-1990,HFD,0,262,"3,894",10,"4,166","5,934",26,"5,960","10,126"
Feb-1990,HVN,0,634,"2,020",16,"2,670","3,768",16,"3,784","6,454"
Feb-1990,HYA,0,"2,891","2,672",191,"5,754","1,210",54,"1,264","7,018"
Feb-1990,LEB,0,844,"1,077",10,"1,931","1,289",26,"1,315","3,246"
Feb-1990,LWM,0,51,"2,387",3,"2,441","4,962",0,"4,962","7,403"
Feb-1990,MHT,748,"2,299","2,948",54,"6,049","2,359",53,"2,412","8,461"
Feb-1990,MVY,0,900,"1,141",23,"2,064",338,26,364,"2,428"
Feb-1990,ORH,346,940,"3,599",23,"4,908","3,654",24,"3,678","8,586"
Feb-1990,OWD,0,383,"3,584",38,"4,005","2,161",68,"2,229","6,234"
Feb-1990,PVD,"2,396","1,764","2,588",65,"6,813","5,310",54,"5,364","12,177"
Feb-1990,PWM,"1,333","1,930","2,289",56,"5,608","1,415",42,"1,457","7,065"
Mar-1990,ACK,0,"3,504","3,465",68,"7,037","1,409",84,"1,493","8,530"
Mar-1990,ASH,0,0,"5,500",6,"5,506","4,187",2,"4,189","9,695"
Mar-1990,BAF,0,1,"5,159","1,169","6,329","5,703",520,"6,223","12,552"
Mar-1990,BDL,"5,397","5,501","3,221",781,"14,900",220,70,290,"15,190"
Mar-1990,BDR,0,"1,717","5,523",131,"7,371","4,668",20,"4,688","12,059"
Mar-1990,BED,0,"1,788","11,352",157,"13,297","6,851",2,"6,853","20,150"
Mar-1990,BGR,877,"2,101","2,166","1,213","6,357","2,006","2,018","4,024","10,381"
Mar-1990,BOS,"20,879","12,448","3,100",92,"36,519",0,0,0,"36,519"
Mar-1990,BTV,"1,337","2,945","3,525",887,"8,694","3,176",556,"3,732","12,426"
Mar-1990,BVY,0,0,"4,286",22,"4,308","7,461",12,"7,473","11,781"
Mar-1990,DXR,0,176,"5,586",21,"5,783","5,491",13,"5,504","11,287"
Mar-1990,EWB,32,"1,365","6,102",137,"7,636","5,100",82,"5,182","12,818"
Mar-1990,GON,0,"1,082","4,039",319,"5,440","6,334",440,"6,774","12,214"
Mar-1990,HFD,0,513,"5,766",39,"6,318","9,911",70,"9,981","16,299"
Mar-1990,HVN,0,673,"2,615",25,"3,313","4,819",39,"4,858","8,171"
Mar-1990,HYA,0,"3,614","4,083",17,"7,714","2,174",96,"2,270","9,984"
Mar-1990,LEB,10,981,"1,697",40,"2,728","2,390",0,"2,390","5,118"
Mar-1990,LWM,0,32,"4,007",7,"4,046","7,937",8,"7,945","11,991"
Mar-1990,MHT,905,"2,709","4,481",78,"8,173","4,207",54,"4,261","12,434"
Mar-1990,MVY,0,992,"1,543",34,"2,569",710,26,736,"3,305"
Mar-1990,ORH,397,"1,097","4,972",57,"6,523","5,948",68,"6,016","12,539"
Mar-1990,OWD,0,562,"5,897",57,"6,516","4,874",0,"4,874","11,390"
Mar-1990,PVD,"3,018","1,919","3,436",75,"8,448","6,203",32,"6,235","14,683"
Mar-1990,PWM,"1,527","2,309","3,105",72,"7,013","1,987",108,"2,095","9,108"
Apr-1990,ACK,0,"3,760","3,861",81,"7,702","1,394",38,"1,432","9,134"
Apr-1990,ASH,0,0,"4,606",16,"4,622","3,504",2,"3,506","8,128"
Apr-1990,BAF,0,2,"4,547",832,"5,381","3,905",328,"4,233","9,614"
Apr-1990,BDL,"5,110","5,076","3,102",851,"14,139",221,58,279,"14,418"
Apr-1990,BDR,0,"1,624","5,736",122,"7,482","4,855",10,"4,865","12,347"
Apr-1990,BED,0,"1,655","10,555",196,"12,406","5,806",0,"5,806","18,212"
Apr-1990,BGR,974,"1,720","2,037","1,264","5,995","2,522","2,329","4,851","10,846"
Apr-1990,BOS,"20,642","12,468","2,994",63,"36,167",0,0,0,"36,167"
Apr-1990,BTV,"1,315","2,765","3,417",787,"8,284","2,811",550,"3,361","11,645"
Apr-1990,BVY,0,4,"3,865",12,"3,881","6,470",0,"6,470","10,351"
Apr-1990,DXR,0,50,"5,520",22,"5,592","4,714",24,"4,738","10,330"
Apr-1990,EWB,0,"1,612","6,028",46,"7,686","4,526",60,"4,586","12,272"
Apr-1990,GON,0,"1,011","3,735",243,"4,989","5,424",142,"5,566","10,555"
Apr-1990,HFD,0,390,"5,056",83,"5,529","9,047",48,"9,095","14,624"
Apr-1990,HVN,0,630,"2,597",12,"3,239","4,078",58,"4,136","7,375"
Apr-1990,HYA,0,"4,014","4,414",23,"8,451","2,494",66,"2,560","11,011"
Apr-1990,LEB,0,860,"1,520",10,"2,390","2,456",10,"2,466","4,856"
Apr-1990,LWM,0,50,"3,691",9,"3,750","7,237",4,"7,241","10,991"
Apr-1990,MHT,811,"2,480","4,102",49,"7,442","3,884",28,"3,912","11,354"
Apr-1990,MVY,0,"1,080","1,801",39,"2,920",749,16,765,"3,685"
Apr-1990,ORH,398,803,"4,748",53,"6,002","5,082",42,"5,124","11,126"
Apr-1990,OWD,0,433,"5,361",35,"5,829","4,874",0,"4,874","10,703"
Apr-1990,PVD,"2,949","1,796","3,487",46,"8,278","5,071",32,"5,103","13,381"
Apr-1990,PWM,"1,516","2,215","2,770",107,"6,608","1,700",97,"1,797","8,405"
May-1990,ACK,0,"5,124","5,505",34,"10,663","1,186",50,"1,236","11,899"
May-1990,ASH,0,0,"6,582",8,"6,590","4,645",0,"4,645","11,235"
May-1990,BAF,11,2,"4,997","1,341","6,351","4,412",824,"5,236","11,587"
May-1990,BDL,"5,730","5,321","3,626",838,"15,515",117,22,139,"15,654"
May-1990,BDR,0,"1,668","6,418",218,"8,304","4,643",34,"4,677","12,981"
May-1990,BED,0,"1,946","12,866",183,"14,995","8,074",34,"8,108","23,103"
May-1990,BGR,"1,306","1,741","2,321","1,336","6,704","2,449","2,727","5,176","11,880"
May-1990,BOS,"20,887","13,552","3,792",63,"38,294",0,0,0,"38,294"
May-1990,BTV,"1,351","3,201","3,985","1,095","9,632","3,786",690,"4,476","14,108"
May-1990,BVY,0,8,"4,224",7,"4,239","5,138",2,"5,140","9,379"
May-1990,DXR,0,44,"6,411",13,"6,468","5,079",19,"5,098","11,566"
