Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
Oct-1989,DEN,"25,484","9,325","3,295",115,"38,219",0,0,0,"38,219"
Oct-1989,PDX,"8,532","8,449","4,773",899,"22,653",241,192,433,"23,086"
Oct-1989,SEA,"15,602","12,657",909,24,"29,192",20,0,20,"29,212"
Oct-1989,SLC,"12,495","4,736","7,136",408,"24,775",428,76,504,"25,279"
Nov-1989,DEN,"24,073","9,149","3,234",142,"36,598",33,0,33,"36,631"
Nov-1989,PDX,"7,937","7,972","4,266","1,003","21,178",277,171,448,"21,626"
Nov-1989,SEA,"14,718","12,173",661,13,"27,565",38,0,38,"27,603"
Nov-1989,SLC,"11,779","4,403","6,657",410,"23,249",448,69,517,"23,766"
Dec-1989,DEN,"25,487","10,626","2,821",193,"39,127",4,0,4,"39,131"
Dec-1989,PDX,"8,725","7,965","3,732",831,"21,253",382,166,548,"21,801"
Dec-1989,SEA,"14,740","11,292",653,39,"26,724",47,6,53,"26,777"
Dec-1989,SLC,"12,535","4,870","5,830",315,"23,550",221,22,243,"23,793"
Jan-1990,ALW,0,652,"1,070",28,"1,750","1,162",24,"1,186","2,936"
Jan-1990,APA,0,315,"12,138",138,"12,591","13,649",321,"13,970","26,561"
Jan-1990,ASE,742,"1,347","2,341",0,"4,430",529,1,530,"4,960"
Jan-1990,BFI,456,"1,469","13,843",135,"15,903","11,547",52,"11,599","27,502"
Jan-1990,BIL,956,"1,874","2,677",54,"5,561","1,962",36,"1,998","7,559"
Jan-1990,BJC,2,72,"5,181",16,"5,271","4,822",4,"4,826","10,097"
Jan-1990,BLI,344,"1,130","2,066",44,"3,584","1,174",22,"1,196","4,780"
Jan-1990,BOI,"1,528","3,552","3,432","1,116","9,628","1,349",678,"2,027","11,655"
Jan-1990,COS,"1,796",784,"2,384","1,399","6,363","3,314","1,846","5,160","11,523"
Jan-1990,CPR,193,824,"1,434",45,"2,496","1,126",76,"1,202","3,698"
Jan-1990,CYS,50,703,"1,328",388,"2,469",996,774,"1,770","4,239"
Jan-1990,DEN,"25,784","11,218","3,032",160,"40,194",27,0,27,"40,221"
Jan-1990,EUG,787,"1,784","3,810",114,"6,495","5,380",84,"5,464","11,959"
Jan-1990,GEG,"2,429","3,943","1,341",172,"7,885",786,196,982,"8,867"
Jan-1990,GJT,692,527,"2,520",18,"3,757","1,875",6,"1,881","5,638"
Jan-1990,GTF,695,"1,020","1,060",716,"3,491","1,520",836,"2,356","5,847"
Jan-1990,HIO,0,148,"4,781",27,"4,956","7,203",22,"7,225","12,181"
Jan-1990,HLN,205,"1,647","1,107",432,"3,391",936,794,"1,730","5,121"
Jan-1990,IDA,371,767,"1,035",18,"2,191",819,0,819,"3,010"
Jan-1990,LMT,0,714,"1,079",714,"2,507",570,"1,250","1,820","4,327"
Jan-1990,LWS,0,"2,016","1,001",20,"3,037",504,40,544,"3,581"
Jan-1990,MFR,309,"1,451","1,893",7,"3,660","1,529",6,"1,535","5,195"
Jan-1990,MSO,425,"1,267",940,21,"2,653","1,062",0,"1,062","3,715"
Jan-1990,MWH,599,437,"2,334",284,"3,654","9,845",973,"10,818","14,472"
Jan-1990,OGD,2,9,"2,403",43,"2,457","3,579",116,"3,695","6,152"
Jan-1990,OLM,0,11,"2,073",92,"2,176",784,10,794,"2,970"
Jan-1990,PAE,338,136,"3,745",254,"4,473","5,480",204,"5,684","10,157"
Jan-1990,PDT,0,870,746,116,"1,732",422,378,800,"2,532"
Jan-1990,PDX,"8,349","7,800","3,661",877,"20,687",206,73,279,"20,966"
Jan-1990,PIH,0,"1,339","1,186",25,"2,550",934,8,942,"3,492"
Jan-1990,PSC,186,"2,598","1,524",35,"4,343","1,682",6,"1,688","6,031"
Jan-1990,PUB,319,370,"2,080",446,"3,215","1,800","1,510","3,310","6,525"
Jan-1990,RNT,19,95,"2,513",34,"2,661","5,055",0,"5,055","7,716"
Jan-1990,SEA,"15,293","12,155",582,13,"28,043",30,0,30,"28,073"
Jan-1990,SFF,0,385,"1,702",2,"2,089","2,013",0,"2,013","4,102"
Jan-1990,SLC,"12,599","4,876","5,740",384,"23,599",178,42,220,"23,819"
Jan-1990,SLE,4,151,"1,669",366,"2,190","1,428",369,"1,797","3,987"
Jan-1990,SUN,33,403,"1,972",1,"2,409",568,0,568,"2,977"
Jan-1990,TIW,0,13,"3,271",7,"3,291","2,742",2,"2,744","6,035"
Jan-1990,TTD,0,32,764,17,813,"4,020",29,"4,049","4,862"
Jan-1990,TWF,34,"1,151","1,013",42,"2,240",842,0,842,"3,082"
Jan-1990,YKM,11,"1,700","1,508",258,"3,477","1,794",204,"1,998","5,475"
Feb-1990,ALW,0,577,"1,322",16,"1,915","1,976",8,"1,984","3,899"
Feb-1990,APA,0,320,"13,708",142,"14,170","13,481",444,"13,925","28,095"
Feb-1990,ASE,696,"1,319","2,501",0,"4,516",562,0,562,"5,078"
Feb-1990,BFI,487,"1,430","12,651",172,"14,740","9,013",27,"9,040","23,780"
Feb-1990,BIL,843,"1,714","2,952",67,"5,576","2,656",26,"2,682","8,258"
Feb-1990,BJC,0,63,"5,711",2,"5,776","5,680",2,"5,682","11,458"
Feb-1990,BLI,302,930,"1,837",30,"3,099",898,12,910,"4,009"
Feb-1990,BOI,"1,358","3,238","3,886","1,091","9,573","2,228",358,"2,586","12,159"
Feb-1990,COS,"1,617",678,"2,705","1,686","6,686","4,272","2,540","6,812","13,498"
Feb-1990,CPR,170,761,"1,718",26,"2,675","1,792",84,"1,876","4,551"
Feb-1990,CYS,49,637,"1,586",358,"2,630",966,594,"1,560","4,190"
Feb-1990,DEN,"23,635","10,296","2,848",100,"36,879",38,0,38,"36,917"
Feb-1990,EUG,872,"1,572","4,081",129,"6,654","5,874",58,"5,932","12,586"
Feb-1990,GEG,"2,236","3,425","1,529",210,"7,400",653,163,816,"8,216"
Feb-1990,GJT,636,545,"2,607",32,"3,820","1,900",38,"1,938","5,758"
Feb-1990,GTF,619,944,"1,113",501,"3,177",832,454,"1,286","4,463"
Feb-1990,HIO,0,84,"5,643",46,"5,773","8,224",50,"8,274","14,047"
Feb-1990,HLN,180,"1,462","1,167",386,"3,195",966,500,"1,466","4,661"
Feb-1990,IDA,321,761,"1,401",24,"2,507","1,004",0,"1,004","3,511"
Feb-1990,LMT,0,610,"1,225",768,"2,603",775,"2,072","2,847","5,450"
Feb-1990,LWS,0,"2,030","1,306",16,"3,352",492,4,496,"3,848"
Feb-1990,MFR,272,"1,378","2,165",20,"3,835","1,570",6,"1,576","5,411"
Feb-1990,MSO,389,"1,125","1,211",17,"2,742","1,278",2,"1,280","4,022"
Feb-1990,MWH,593,353,"2,082",203,"3,231","7,995",966,"8,961","12,192"
Feb-1990,OGD,1,8,"2,792",71,"2,872","4,196",58,"4,254","7,126"
Feb-1990,OLM,0,9,"1,865",70,"1,944",802,14,816,"2,760"
Feb-1990,PAE,404,130,"3,143",244,"3,921","4,476",224,"4,700","8,621"
Feb-1990,PDT,0,514,"1,330",135,"1,979",332,216,548,"2,527"
Feb-1990,PDX,"7,455","6,975","3,702",936,"19,068",210,102,312,"19,380"
Feb-1990,PIH,0,"1,194","1,358",20,"2,572","1,143",12,"1,155","3,727"
Feb-1990,PSC,176,"2,420","1,717",42,"4,355","1,413",38,"1,451","5,806"
Feb-1990,PUB,277,307,"2,155",479,"3,218","1,527","1,552","3,079","6,297"
Feb-1990,RNT,20,70,"2,379",25,"2,494","4,937",0,"4,937","7,431"
Feb-1990,SEA,"13,676","10,469",577,18,"24,740",26,0,26,"24,766"
Feb-1990,SFF,0,369,"2,099",0,"2,468","2,588",0,"2,588","5,056"
Feb-1990,SLC,"11,473","4,453","5,993",365,"22,284",259,35,294,"22,578"
Feb-1990,SLE,3,128,"1,911",244,"2,286","1,520",200,"1,720","4,006"
Feb-1990,SUN,50,513,"2,722",0,"3,285",727,0,727,"4,012"
Feb-1990,TIW,0,9,"3,098",10,"3,117","2,252",8,"2,260","5,377"
Feb-1990,TTD,0,0,719,33,752,"3,099",38,"3,137","3,889"
Feb-1990,TWF,24,947,"1,078",35,"2,084",856,0,856,"2,940"
Feb-1990,YKM,48,"1,538","1,747",266,"3,599","1,684",258,"1,942","5,541"
