Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
Oct-1989,ATL,"48,455","14,557","2,352",130,"65,494",78,0,78,"65,572"
Oct-1989,BNA,"9,747","5,299","7,275",552,"22,873",169,0,169,"23,042"
Oct-1989,CLT,"20,586","10,170","7,452",352,"38,560",0,0,0,"38,560"
Oct-1989,CVG,"10,216","10,294","2,392",116,"23,018",51,0,51,"23,069"
Oct-1989,FLL,"7,293","3,973","4,967",155,"16,388",262,0,262,"16,650"
Oct-1989,MCO,"14,479","4,392","3,055",303,"22,229",6,4,10,"22,239"
Oct-1989,MEM,"16,048","5,292","6,701",615,"28,656",76,2,78,"28,734"
Oct-1989,MIA,"20,914","5,537","5,155",518,"32,124",0,0,0,"32,124"
Oct-1989,PBI,"4,738","2,182","9,188",159,"16,267","1,966",0,"1,966","18,233"
Oct-1989,RDU,"10,758","4,586","7,292",622,"23,258",396,22,418,"23,676"
Oct-1989,SJU,"4,593","7,584","2,450",465,"15,092",706,90,796,"15,888"
Oct-1989,TPA,"9,810","3,721","3,573",141,"17,245",0,0,0,"17,245"
Nov-1989,ATL,"46,219","13,583","2,028",107,"61,937",91,4,95,"62,032"
Nov-1989,BNA,"9,003","4,937","6,409",530,"20,879",210,2,212,"21,091"
Nov-1989,CLT,"20,267","9,918","6,797",263,"37,245",0,0,0,"37,245"
Nov-1989,CVG,"10,066","10,311","2,790",156,"23,323",22,0,22,"23,345"
Nov-1989,FLL,"7,854","4,182","5,309",97,"17,442",344,24,368,"17,810"
Nov-1989,MCO,"13,986","4,228","2,828",951,"21,993",4,0,4,"21,997"
Nov-1989,MEM,"15,347","5,104","6,053",535,"27,039",96,10,106,"27,145"
Nov-1989,MIA,"22,504","6,493","5,928",523,"35,448",0,0,0,"35,448"
Nov-1989,PBI,"4,981","2,269","10,156",139,"17,545","1,834",10,"1,844","19,389"
Nov-1989,RDU,"10,502","4,857","7,144",646,"23,149",424,27,451,"23,600"
Nov-1989,SJU,"4,911","7,764","2,236",334,"15,245",613,96,709,"15,954"
Nov-1989,TPA,"10,247","3,727","3,580",122,"17,676",0,0,0,"17,676"
Dec-1989,ATL,"46,811","13,805","1,490",128,"62,234",63,0,63,"62,297"
Dec-1989,BNA,"9,495","4,538","4,683",352,"19,068",98,0,98,"19,166"
Dec-1989,CLT,"19,923","9,710","5,214",274,"35,121",385,0,385,"35,506"
Dec-1989,CVG,"10,530","9,533","1,674",115,"21,852",36,0,36,"21,888"
Dec-1989,FLL,"8,706","4,668","5,754",253,"19,381",320,0,320,"19,701"
Dec-1989,MCO,"14,691","4,600","2,689",294,"22,274",18,6,24,"22,298"
Dec-1989,MEM,"16,009","5,380","4,892",470,"26,751",80,0,80,"26,831"
Dec-1989,MIA,"25,535","7,150","6,889",506,"40,080",0,0,0,"40,080"
Dec-1989,PBI,"5,279","2,193","10,069",187,"17,728","1,764",0,"1,764","19,492"
Dec-1989,RDU,"10,036","4,717","5,308",480,"20,541",336,52,388,"20,929"
Dec-1989,SJU,"5,530","8,888","2,583",358,"17,359",653,82,735,"18,094"
Dec-1989,TPA,"11,507","3,183","2,974",118,"17,782",3,0,3,"17,785"
Jan-1990,ABY,37,984,"2,493",253,"3,767",770,331,"1,101","4,868"
Jan-1990,AGS,540,"1,177","1,795",410,"3,922","1,502",235,"1,737","5,659"
Jan-1990,ATL,"47,318","15,092","1,650",100,"64,160",154,0,154,"64,314"
Jan-1990,AVL,351,"1,640","1,978",26,"3,995","1,651",10,"1,661","5,656"
Jan-1990,BHM,"3,413","1,679","6,797",964,"12,853","1,882",514,"2,396","15,249"
Jan-1990,BNA,"9,483","4,990","5,719",505,"20,697",128,2,130,"20,827"
Jan-1990,CAE,"1,953","1,626","3,729",469,"7,777","1,775",210,"1,985","9,762"
Jan-1990,CHA,888,"1,396","4,499",205,"6,988","1,251",137,"1,388","8,376"
Jan-1990,CHS,"2,388",223,"3,131","2,213","7,955",190,"3,410","3,600","11,555"
Jan-1990,CLT,"20,582","10,257","6,232",320,"37,391",0,0,0,"37,391"
Jan-1990,CRE,0,221,"3,939",146,"4,306","1,169",2,"1,171","5,477"
Jan-1990,CRG,0,667,"8,494",730,"9,891","7,724",559,"8,283","18,174"
Jan-1990,CSG,184,"1,030","2,482",119,"3,815","1,204",107,"1,311","5,126"
Jan-1990,CVG,"10,935","10,172","1,807",182,"23,096",15,0,15,"23,111"
Jan-1990,DAB,"1,189",475,"15,164",83,"16,911","6,613",39,"6,652","23,563"
Jan-1990,DHN,26,"1,210","3,025","2,576","6,837","1,799",504,"2,303","9,140"
Jan-1990,EYW,349,"1,857","3,528",78,"5,812","2,125",47,"2,172","7,984"
Jan-1990,FAY,541,896,"2,343",427,"4,207",713,90,803,"5,010"
Jan-1990,FLL,"9,091","4,690","5,830",96,"19,707",374,0,374,"20,081"
Jan-1990,FLO,0,805,"2,438",150,"3,393","1,596",62,"1,658","5,051"
Jan-1990,FMY,0,877,"5,364",61,"6,302","3,613",18,"3,631","9,933"
Jan-1990,FPR,0,115,"4,876",11,"5,002","10,115",0,"10,115","15,117"
Jan-1990,FTY,1,248,"5,854",368,"6,471","4,634",42,"4,676","11,147"
Jan-1990,FXE,0,536,"15,698",38,"16,272","3,241",0,"3,241","19,513"
Jan-1990,GLH,4,354,"1,019",145,"1,522",409,397,806,"2,328"
Jan-1990,GMU,0,17,"3,929",8,"3,954","2,656",0,"2,656","6,610"
Jan-1990,GNV,547,"1,098","3,880",149,"5,674","2,706",87,"2,793","8,467"
Jan-1990,GPT,184,388,"1,489","1,115","3,176","1,034","1,378","2,412","5,588"
Jan-1990,GSO,"3,719","1,138","5,194",101,"10,152","1,829",45,"1,874","12,026"
Jan-1990,GSP,"1,739",673,"2,257",144,"4,813",740,114,854,"5,667"
Jan-1990,HKS,0,2,"2,486",375,"2,863","1,614",303,"1,917","4,780"
Jan-1990,HSV,"1,785",958,"2,392",404,"5,539","1,522",269,"1,791","7,330"
Jan-1990,HWO,0,0,"6,784",66,"6,850","12,612",32,"12,644","19,494"
Jan-1990,ILM,414,600,"2,795",168,"3,977","1,259",874,"2,133","6,110"
Jan-1990,INT,23,407,"3,453",15,"3,898","3,479",2,"3,481","7,379"
Jan-1990,ISO,92,443,"2,920",260,"3,715","2,194",34,"2,228","5,943"
Jan-1990,JAN,"1,647",335,"2,005",675,"4,662",298,"1,338","1,636","6,298"
