Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
Oct-1989,ABQ,"7,776","3,280","6,673","2,761","20,490",162,412,574,"21,064"
Oct-1989,DFW,"41,844","17,106","1,647",80,"60,677",32,1,33,"60,710"
Oct-1989,HOU,"9,971","1,583","11,786",332,"23,672",20,0,20,"23,692"
Oct-1989,IAH,"17,698","4,065","3,824",104,"25,691",0,0,0,"25,691"
Oct-1989,MSY,"7,836","1,338","2,034",86,"11,294",0,0,0,"11,294"
Oct-1989,SAT,"6,448","2,394","9,359",263,"18,464",684,314,998,"19,462"
Nov-1989,ABQ,"5,683","3,174","6,121","2,763","17,741",188,469,657,"18,398"
Nov-1989,DFW,"40,239","16,499","1,529",78,"58,345",0,0,0,"58,345"
Nov-1989,HOU,"9,514","1,666","11,022",330,"22,532",353,0,353,"22,885"
Nov-1989,IAH,"16,967","3,880","3,411",99,"24,357",0,0,0,"24,357"
Nov-1989,MSY,"7,646","1,702","1,795",54,"11,197",0,0,0,"11,197"
Nov-1989,SAT,"6,149","1,723","8,007",220,"16,099",574,286,860,"16,959"
Dec-1989,ABQ,"5,703","3,151","5,658","2,136","16,648",118,341,459,"17,107"
Dec-1989,DFW,"43,899","14,670","1,108",54,"59,731",20,14,34,"59,765"
Dec-1989,HOU,"9,591","1,667","10,171",255,"21,684",10,0,10,"21,694"
Dec-1989,IAH,"17,451","4,174","3,146",141,"24,912",0,0,0,"24,912"
Dec-1989,MSY,"8,351","2,767","1,784",156,"13,058",112,100,212,"13,270"
Dec-1989,SAT,"6,457","1,544","7,113",248,"15,362",488,263,751,"16,113"
Jan-1990,ABI,14,"1,473","3,052",300,"4,839","2,408","1,147","3,555","8,394"
Jan-1990,ABQ,"6,022","3,359","5,644","3,197","18,222",154,682,836,"19,058"
Jan-1990,ACT,27,681,"2,566",330,"3,604","1,195",584,"1,779","5,383"
Jan-1990,ADM,0,38,"1,201",270,"1,509",722,810,"1,532","3,041"
Jan-1990,ADS,0,46,"11,596",9,"11,651",454,2,456,"12,107"
Jan-1990,AFW,0,4,"1,677",21,"1,702","5,611",106,"5,717","7,419"
Jan-1990,AMA,"1,106",336,"1,630",676,"3,748",450,"2,915","3,365","7,113"
Jan-1990,AUS,"5,226","2,341","7,031",592,"15,190",251,18,269,"15,459"
Jan-1990,BPT,0,"1,575","1,772",26,"3,373","1,448",24,"1,472","4,845"
Jan-1990,BRO,97,8,"1,977",110,"2,192","1,562",338,"1,900","4,092"
Jan-1990,BTR,"1,532",644,"4,558",125,"6,859","3,091",160,"3,251","10,110"
Jan-1990,CLL,0,"1,077","2,642",295,"4,014","1,389",503,"1,892","5,906"
Jan-1990,CRP,981,"1,109","2,680","1,326","6,096",979,"3,644","4,623","10,719"
Jan-1990,CSM,0,0,190,421,611,815,"1,752","2,567","3,178"
Jan-1990,DAL,"6,682","1,911","8,691",69,"17,353",0,0,0,"17,353"
Jan-1990,DFW,"44,545","13,994","1,269",86,"59,894",0,0,0,"59,894"
Jan-1990,DTN,0,62,"1,693",0,"1,755","2,041",4,"2,045","3,800"
Jan-1990,DWH,0,20,"4,978",28,"5,026","4,982",24,"5,006","10,032"
Jan-1990,ELP,"4,821",288,"5,706",383,"11,198","2,886",406,"3,292","14,490"
Jan-1990,ESF,0,969,"1,159",455,"2,583",426,426,852,"3,435"
Jan-1990,FMN,224,"1,285","1,682",10,"3,201","1,464",8,"1,472","4,673"
