Date,Facility,,,,Military,Total,Civil,Military,Total,
,,Carrier,Taxi,Aviation,,,,,,Operations
Oct-1989,HNL,"15,303","4,878","5,920","1,778","27,879","2,006",296,"2,302","30,181"
Oct-1989,LAS,"16,873","6,049","7,203",531,"30,656","1,816",40,"1,856","32,512"
Oct-1989,LAX,"36,904","13,293","3,306",326,"53,829",430,8,438,"54,267"
Oct-1989,OGG,"4,167","5,370","1,212",296,"11,045","2,660",534,"3,194","14,239"
Oct-1989,ONT,"7,662","1,876","2,555",66,"12,159",360,6,366,"12,525"
Oct-1989,PHX,"24,339","6,041","9,296",697,"40,373",531,8,539,"40,912"
Oct-1989,SAN,"11,245","4,230","2,029",318,"17,822",0,0,0,"17,822"
Oct-1989,SFO,"25,631","6,895","3,189",263,"35,978","1,613",0,"1,613","37,591"
Oct-1989,SJC,"8,069","3,882","10,270",69,"22,290","4,071",0,"4,071","26,361"
Nov-1989,HNL,"15,519","4,458","5,781","1,814","27,572","1,863",160,"2,023","29,595"
Nov-1989,LAS,"15,892","5,098","7,910",349,"29,249","1,513",4,"1,517","30,766"
Nov-1989,LAX,"35,757","12,527","3,795",313,"52,392",510,73,583,"52,975"
Nov-1989,OGG,"4,345","5,070","1,432",260,"11,107","2,600",152,"2,752","13,859"
Nov-1989,ONT,"7,064","1,884","2,856",55,"11,859",611,20,631,"12,490"
Nov-1989,PHX,"23,225","5,717","9,408",720,"39,070",346,6,352,"39,422"
Nov-1989,SAN,"10,823","3,805","2,034",381,"17,043",0,0,0,"17,043"
Nov-1989,SFO,"24,723","6,660","3,699",244,"35,326","1,075",0,"1,075","36,401"
Nov-1989,SJC,"7,649","3,803","9,713",75,"21,240","4,352",16,"4,368","25,608"
Dec-1989,HNL,"15,965","4,399","6,149","1,569","28,082","1,601",206,"1,807","29,889"
Dec-1989,LAS,"15,306","4,064","7,780",336,"27,486","1,784",90,"1,874","29,360"
Dec-1989,LAX,"36,395","12,539","3,191",307,"52,432",483,28,511,"52,943"
Dec-1989,OGG,"4,724","4,392","1,493",392,"11,001","1,763",382,"2,145","13,146"
Dec-1989,ONT,"7,462","2,176","2,727",41,"12,406",427,2,429,"12,835"
Dec-1989,PHX,"24,280","6,088","8,894",666,"39,928",560,4,564,"40,492"
Dec-1989,SAN,"10,763","3,928","1,753",333,"16,777",0,0,0,"16,777"
Dec-1989,SFO,"25,322","6,120","2,402",183,"34,027",746,0,746,"34,773"
Dec-1989,SJC,"7,732","3,369","7,408",30,"18,539","3,642",0,"3,642","22,181"
Jan-1990,APC,0,14,"5,460",86,"5,560","8,746",112,"8,858","14,418"
Jan-1990,BFL,126,"2,066","4,035",116,"6,343",691,131,822,"7,165"
Jan-1990,BUR,"3,503","4,112","9,629",139,"17,383",802,0,802,"18,185"
Jan-1990,CCR,210,588,"8,727",57,"9,582","13,006",0,"13,006","22,588"
Jan-1990,CIC,0,693,"2,439",76,"3,208","1,706",16,"1,722","4,930"
Jan-1990,CMA,0,401,"6,241",57,"6,699","7,228",4,"7,232","13,931"
Jan-1990,CNO,0,0,"8,826",90,"8,916","7,824",18,"7,842","16,758"
Jan-1990,CRQ,0,584,"11,713",85,"12,382","6,138",8,"6,146","18,528"
Jan-1990,DVT,0,219,"9,014",60,"9,293","12,610",51,"12,661","21,954"
Jan-1990,EMT,0,345,"7,638",15,"7,998","7,419",0,"7,419","15,417"
Jan-1990,FAT,"1,265","5,977","6,009",711,"13,962",471,68,539,"14,501"
Jan-1990,FFZ,0,17,"5,856",44,"5,917","6,431",580,"7,011","12,928"
Jan-1990,FLG,4,561,"1,962",30,"2,557","1,922",26,"1,948","4,505"
Jan-1990,FUL,0,61,"6,038",1,"6,100","4,158",0,"4,158","10,258"
Jan-1990,GCN,0,"4,626",346,8,"4,980",84,4,88,"5,068"
Jan-1990,GYR,17,0,"5,649",8,"5,674","12,824",20,"12,844","18,518"
Jan-1990,HHR,0,38,"5,222",20,"5,280","3,864",0,"3,864","9,144"
Jan-1990,HNL,"16,970","4,177","5,544","3,940","30,631","2,924",200,"3,124","33,755"
Jan-1990,HWD,0,383,"10,128",60,"10,571","10,060",6,"10,066","20,637"
Jan-1990,ITO,"1,542","2,214",716,650,"5,122","1,069",942,"2,011","7,133"
Jan-1990,KOA,"2,068",902,696,227,"3,893",586,277,863,"4,756"
Jan-1990,KWA,70,91,31,"1,292","1,484",2,160,162,"1,646"
Jan-1990,LAS,"15,979","4,360","7,686",339,"28,364","1,472",20,"1,492","29,856"
Jan-1990,LAX,"36,498","13,172","3,474",386,"53,530",449,0,449,"53,979"
Jan-1990,LGB,"2,245",244,"18,740",156,"21,385","14,487",0,"14,487","35,872"
Jan-1990,LIH,"2,558","3,738",183,56,"6,535",396,794,"1,190","7,725"
Jan-1990,LVK,0,14,"6,686",21,"6,721","9,902",28,"9,930","16,651"
Jan-1990,MKK,0,"2,083",446,81,"2,610",342,34,376,"2,986"
Jan-1990,MOD,0,"1,583","2,829",77,"4,489","1,646",44,"1,690","6,179"
Jan-1990,MRY,613,"1,917","4,775",337,"7,642","1,588",178,"1,766","9,408"
Jan-1990,MYF,0,487,"9,293",13,"9,793","7,416",28,"7,444","17,237"
Jan-1990,OAK,"6,660","4,897","10,226",152,"21,935","8,958",20,"8,978","30,913"
Jan-1990,OGG,"4,510","5,082","1,280",350,"11,222","1,612",210,"1,822","13,044"
Jan-1990,ONT,"7,416","1,888","2,553",34,"11,891",343,0,343,"12,234"
Jan-1990,OXR,0,"1,944","4,913",35,"6,892","3,746",90,"3,836","10,728"
Jan-1990,PAO,0,0,"6,801",0,"6,801","9,807",2,"9,809","16,610"
Jan-1990,PHX,"25,073","6,235","9,610",842,"41,760",284,4,288,"42,048"
Jan-1990,PMD,115,227,525,449,"1,316",774,"4,150","4,924","6,240"
Jan-1990,POC,0,144,"8,388",13,"8,545","12,968",14,"12,982","21,527"
Jan-1990,PRC,0,512,"6,928",24,"7,464","9,827",2,"9,829","17,293"
Jan-1990,PSP,"1,177","2,719","5,104",103,"9,103","1,024",56,"1,080","10,183"
Jan-1990,RAL,0,127,"6,002",24,"6,153","4,893",0,"4,893","11,046"
Jan-1990,RDD,0,"1,726","3,667",106,"5,499","2,246",126,"2,372","7,871"
Jan-1990,RHV,0,0,"5,427",2,"5,429","10,533",0,"10,533","15,962"
Jan-1990,RNO,"3,932","1,615","3,875",602,"10,024","1,509",160,"1,669","11,693"
Jan-1990,SAC,0,421,"8,327",16,"8,764","2,778",20,"2,798","11,562"
Jan-1990,SAN,"10,587","4,058","1,851",413,"16,909",0,0,0,"16,909"
Jan-1990,SBA,719,"4,003","6,483",90,"11,295","3,258",5,"3,263","14,558"
Jan-1990,SBP,0,"1,786","4,200",51,"6,037","2,921",44,"2,965","9,002"
Jan-1990,SCK,130,525,"2,549",339,"3,543","4,107",642,"4,749","8,292"
Jan-1990,SDL,0,387,"9,972",48,"10,407","9,147",46,"9,193","19,600"
Jan-1990,SDM,0,4,"4,411",334,"4,749","8,595","2,086","10,681","15,430"
Jan-1990,SEE,0,0,"7,137",18,"7,155","6,645",11,"6,656","13,811"
Jan-1990,SFO,"24,801","6,688","2,378",189,"34,056",821,0,821,"34,877"
Jan-1990,SJC,"7,837","3,527","7,512",74,"18,950","3,393",2,"3,395","22,345"
Jan-1990,SMF,"4,589","3,918","2,348",111,"10,966","1,984",256,"2,240","13,206"
Jan-1990,SMO,0,26,"9,577",12,"9,615","5,871",0,"5,871","15,486"
Jan-1990,SMX,6,"1,863","3,464",56,"5,389","1,272",2,"1,274","6,663"
Jan-1990,SNA,"5,089","2,685","18,759",99,"26,632","12,828",0,"12,828","39,460"
Jan-1990,SNS,0,144,"3,466",26,"3,636","4,156",628,"4,784","8,420"
Jan-1990,SQL,0,1,"6,828",0,"6,829","7,005",0,"7,005","13,834"
Jan-1990,STS,125,749,"6,397",94,"7,365","4,420",54,"4,474","11,839"
Jan-1990,TOA,0,46,"10,210",2,"10,258","7,508",0,"7,508","17,766"
Jan-1990,TUS,"3,556",563,"8,222","1,587","13,928","3,666","1,740","5,406","19,334"
Jan-1990,TUT,51,685,25,33,794,58,0,58,852
Jan-1990,TVL,126,433,"1,221",32,"1,812",208,28,236,"2,048"
Jan-1990,VGT,0,164,"3,338",2,"3,504","5,726",2,"5,728","9,232"
Jan-1990,VNY,0,42,"21,456",18,"21,516","15,422",0,"15,422","36,938"
Jan-1990,WHP,0,28,"4,661",0,"4,689","4,598",0,"4,598","9,287"
Jan-1990,WJF,0,106,"4,685",84,"4,875","6,297",72,"6,369","11,244"
Feb-1990,APC,0,9,"5,619",75,"5,703","8,810",68,"8,878","14,581"
Feb-1990,BFL,115,"1,947","4,439",144,"6,645",855,191,"1,046","7,691"
Feb-1990,BUR,"3,047","3,898","9,579",110,"16,634",951,0,951,"17,585"
Feb-1990,CCR,200,414,"9,610",73,"10,297","14,000",9,"14,009","24,306"
Feb-1990,CIC,0,637,"2,821",72,"3,530","1,046",214,"1,260","4,790"
Feb-1990,CMA,0,417,"6,363",52,"6,832","7,004",14,"7,018","13,850"
Feb-1990,CNO,0,0,"8,659",100,"8,759","7,936",12,"7,948","16,707"
Feb-1990,CRQ,38,"1,013","10,665",180,"11,896","7,110",8,"7,118","19,014"
Feb-1990,DVT,0,151,"8,765",49,"8,965","13,688",2,"13,690","22,655"
Feb-1990,EMT,0,307,"7,155",18,"7,480","6,783",0,"6,783","14,263"
Feb-1990,FAT,"1,172","5,332","6,764",959,"14,227",613,110,723,"14,950"
Feb-1990,FFZ,0,9,"6,040",38,"6,087","8,560",469,"9,029","15,116"
Feb-1990,FLG,24,522,"1,694",105,"2,345","2,120",18,"2,138","4,483"
Feb-1990,FUL,0,23,"5,693",0,"5,716","4,056",0,"4,056","9,772"
Feb-1990,GCN,0,"6,115",412,10,"6,537",158,12,170,"6,707"
Feb-1990,GYR,22,8,"5,876",13,"5,919","10,446",16,"10,462","16,381"
Feb-1990,HHR,0,38,"4,690",29,"4,757","3,727",0,"3,727","8,484"
Feb-1990,HNL,"14,991","4,138","5,453","1,702","26,284","2,131",116,"2,247","28,531"
Feb-1990,HWD,0,346,"9,641",34,"10,021","10,052",0,"10,052","20,073"
Feb-1990,ITO,"1,381","2,669",858,553,"5,461",909,747,"1,656","7,117"
Feb-1990,KOA,"2,043",759,682,155,"3,639",531,262,793,"4,432"
Feb-1990,KWA,76,97,32,"1,377","1,582",0,361,361,"1,943"
Feb-1990,LAS,"14,855","5,303","6,896",362,"27,416","1,460",21,"1,481","28,897"
Feb-1990,LAX,"32,435","12,760","3,588",392,"49,175","2,826",38,"2,864","52,039"
Feb-1990,LGB,"1,978",264,"18,426",141,"20,809","13,482",2,"13,484","34,293"
Feb-1990,LIH,"2,351","5,151",332,20,"7,854",523,316,839,"8,693"
Feb-1990,LVK,0,25,"6,144",30,"6,199","7,916",0,"7,916","14,115"
Feb-1990,MKK,0,"2,258",392,123,"2,773",300,42,342,"3,115"
Feb-1990,MOD,0,"1,497","3,445",54,"4,996","2,358",22,"2,380","7,376"
Feb-1990,MRY,553,"1,756","4,415",177,"6,901","1,602",104,"1,706","8,607"
Feb-1990,MYF,0,414,"9,279",16,"9,709","8,240",0,"8,240","17,949"
Feb-1990,OAK,"5,893","4,150","9,943",82,"20,068","9,830",8,"9,838","29,906"
Feb-1990,OGG,"4,248","4,829","1,407",247,"10,731","2,242",122,"2,364","13,095"
Feb-1990,ONT,"6,664","1,912","2,233",41,"10,850",467,0,467,"11,317"
Feb-1990,OXR,0,"2,056","4,775",30,"6,861","3,723",44,"3,767","10,628"
Feb-1990,PAO,0,4,"6,403",2,"6,409","9,791",2,"9,793","16,202"
Feb-1990,PHX,"22,705","5,834","9,314",700,"38,553",280,4,284,"38,837"
Feb-1990,PMD,156,225,545,311,"1,237",844,"3,404","4,248","5,485"
Feb-1990,POC,0,169,"7,680",20,"7,869","10,162",0,"10,162","18,031"
Feb-1990,PRC,0,487,"9,060",21,"9,568","13,320",0,"13,320","22,888"
Feb-1990,PSP,"1,186","2,544","5,296",96,"9,122",883,43,926,"10,048"
Feb-1990,RAL,0,130,"5,256",49,"5,435","4,928",0,"4,928","10,363"
Feb-1990,RDD,0,"1,593","3,857",130,"5,580","2,630",100,"2,730","8,310"
Feb-1990,RHV,0,0,"5,120",2,"5,122","8,088",0,"8,088","13,210"
Feb-1990,RNO,"3,395","1,354","4,130",572,"9,451","1,268",128,"1,396","10,847"
Feb-1990,SAC,0,434,"9,492",13,"9,939","2,617",14,"2,631","12,570"
Feb-1990,SAN,"9,858","3,673","1,886",411,"15,828",0,0,0,"15,828"
Feb-1990,SBA,691,"3,552","6,422",69,"10,734","2,632",3,"2,635","13,369"
Feb-1990,SBP,0,"1,543","4,228",63,"5,834","3,327",12,"3,339","9,173"
Feb-1990,SCK,134,754,"2,773",299,"3,960","4,216",767,"4,983","8,943"
Feb-1990,SDL,0,424,"10,366",24,"10,814","9,592",34,"9,626","20,440"
Feb-1990,SDM,0,9,"4,430",375,"4,814","7,783","1,378","9,161","13,975"
Feb-1990,SEE,0,1,"7,106",18,"7,125","7,367",36,"7,403","14,528"
Feb-1990,SFO,"22,465","6,176","2,355",206,"31,202",739,0,739,"31,941"
Feb-1990,SJC,"7,338","3,961","7,514",36,"18,849","4,231",0,"4,231","23,080"
Feb-1990,SMF,"4,013","3,834","2,382",119,"10,348","1,500",314,"1,814","12,162"
Feb-1990,SMO,0,29,"9,809",14,"9,852","6,072",0,"6,072","15,924"
Feb-1990,SMX,4,"1,588","3,027",53,"4,672","1,218",0,"1,218","5,890"
Feb-1990,SNA,"4,430","2,501","18,823",51,"25,805","14,232",0,"14,232","40,037"
Feb-1990,SNS,0,117,"3,329",21,"3,467","3,463",494,"3,957","7,424"
Feb-1990,SQL,0,5,"6,530",2,"6,537","6,464",12,"6,476","13,013"
Feb-1990,STS,98,657,"6,410",34,"7,199","3,804",0,"3,804","11,003"
Feb-1990,TOA,0,29,"9,442",16,"9,487","8,370",12,"8,382","17,869"
Feb-1990,TUS,"3,327",610,"8,147","1,446","13,530","3,171","1,210","4,381","17,911"
Feb-1990,TUT,71,415,45,125,656,74,41,115,771
Feb-1990,TVL,133,517,"1,432",44,"2,126",384,22,406,"2,532"
Feb-1990,VGT,0,131,"3,131",9,"3,271","5,183",2,"5,185","8,456"
Feb-1990,VNY,0,77,"20,795",9,"20,881","15,012",0,"15,012","35,893"
